study,outcome,timepoint,data_type,field,field_category,Sam_value,Brit_value,PM_value,Claude_value,SvBr,SvPM,SvCl,BvPM,BvCl,PMvCl,Ground Truth,Sam_truth,Brit_truth,PM_truth,Claude_truth
Wang,Changes in NIHSS at 24 hours (median [IQR]),24 hours,Continuous,iqr_lower_control,Continuous,-2,-2,-2,-2,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Changes in NIHSS at 24 hours (median [IQR]),24 hours,Continuous,iqr_upper_control,Continuous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Changes in NIHSS at 24 hours (median [IQR]),24 hours,Continuous,effect_size,Effect/CI,,-1.29,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Wang,Changes in NIHSS at 24 hours (median [IQR]),24 hours,Continuous,ci_lower,Effect/CI,,-2.71,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Wang,Changes in NIHSS at 24 hours (median [IQR]),24 hours,Continuous,ci_upper,Effect/CI,,0.12,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,n_intervention,Continuous,,40,40,40,NO,NO,NO,YES,YES,YES,40,Sam N/A,YES,YES,YES
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,n_control,Continuous,,40,40,40,NO,NO,NO,YES,YES,YES,40,Sam N/A,YES,YES,YES
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,median_intervention,Continuous,-3,-3,-3,-3,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,iqr_lower_intervention,Continuous,-6,-6,-6,-6,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,iqr_upper_intervention,Continuous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,median_control,Continuous,-2,-2,-2,-2,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,iqr_lower_control,Continuous,-4,-4,-4,-4,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,iqr_upper_control,Continuous,-1,-1,-1,-1,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,effect_size,Effect/CI,,-0.47,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,ci_lower,Effect/CI,,-2,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Wang,Changes in NIHSS at 7 days (median [IQR]),7 days,Continuous,ci_upper,Effect/CI,,1.05,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Wang,ENI (Early neurological improvement),24 hours,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,ENI (Early neurological improvement),24 hours,Dichotomous,events_intervention,Dichotomous,11,11,11,11,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,ENI (Early neurological improvement),24 hours,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,ENI (Early neurological improvement),24 hours,Dichotomous,events_control,Dichotomous,3,3,3,3,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,sICH,48 hours,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,sICH,48 hours,Dichotomous,events_intervention,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,sICH,48 hours,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,sICH,48 hours,Dichotomous,events_control,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HT within 7 days,7 days,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HT within 7 days,7 days,Dichotomous,events_intervention,Dichotomous,3,3,3,3,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HT within 7 days,7 days,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HT within 7 days,7 days,Dichotomous,events_control,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HI-1,7 days,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HI-1,7 days,Dichotomous,events_intervention,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HI-1,7 days,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HI-1,7 days,Dichotomous,events_control,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HI-2,7 days,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HI-2,7 days,Dichotomous,events_intervention,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HI-2,7 days,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,HI-2,7 days,Dichotomous,events_control,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,PH-1,48 hours,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,PH-1,48 hours,Dichotomous,events_intervention,Dichotomous,2,2,2,2,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,PH-1,48 hours,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,PH-1,48 hours,Dichotomous,events_control,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,PH-2,48 hours,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,PH-2,48 hours,Dichotomous,events_intervention,Dichotomous,1,1,1,1,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,PH-2,48 hours,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,PH-2,48 hours,Dichotomous,events_control,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Other bleeding events within 7 days,7 days,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Other bleeding events within 7 days,7 days,Dichotomous,events_intervention,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Other bleeding events within 7 days,7 days,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Other bleeding events within 7 days,7 days,Dichotomous,events_control,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Death within 14 days,14 days,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Death within 14 days,14 days,Dichotomous,events_intervention,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Death within 14 days,14 days,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Death within 14 days,14 days,Dichotomous,events_control,Dichotomous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Adverse events,90 days,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Adverse events,90 days,Dichotomous,events_intervention,Dichotomous,11,11,11,11,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Adverse events,90 days,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Adverse events,90 days,Dichotomous,events_control,Dichotomous,4,4,4,4,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Severe adverse events,90 days,Dichotomous,n_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Severe adverse events,90 days,Dichotomous,events_intervention,Dichotomous,7,7,7,7,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Severe adverse events,90 days,Dichotomous,n_control,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Wang,Severe adverse events,90 days,Dichotomous,events_control,Dichotomous,2,2,2,2,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale,90 days,Dichotomous,n_intervention,Dichotomous,264,264,264,264,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale,90 days,Dichotomous,events_intervention,Dichotomous,87,87,87,87,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale,90 days,Dichotomous,n_control,Dichotomous,252,252,252,252,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale,90 days,Dichotomous,events_control,Dichotomous,61,61,61,61,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale,90 days,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Score of 0 or 1 on the modified Rankin scale,90 days,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Score of 0 or 1 on the modified Rankin scale,90 days,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Score of 0 or 1 on the modified Rankin scale,90 days,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,n_intervention,Dichotomous,,264,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,n_control,Dichotomous,,252,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,effect_size,Effect/CI,1.33,1.33,1.33,1.33,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,ci_lower,Effect/CI,0.98,0.98,0.98,0.98,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Ordinal distribution of scores on the modified Rankin scale,90 days,Ordinal,ci_upper,Effect/CI,1.81,1.81,1.81,1.81,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,"Score of <=2 on the modified Rankin scale, indicating functional independence",90 days,Dichotomous,n_intervention,Dichotomous,264,264,264,264,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,"Score of <=2 on the modified Rankin scale, indicating functional independence",90 days,Dichotomous,events_intervention,Dichotomous,115,115,115,115,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,"Score of <=2 on the modified Rankin scale, indicating functional independence",90 days,Dichotomous,n_control,Dichotomous,252,252,252,252,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,"Score of <=2 on the modified Rankin scale, indicating functional independence",90 days,Dichotomous,events_control,Dichotomous,84,84,84,84,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,"Score of <=2 on the modified Rankin scale, indicating functional independence",90 days,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,"Score of <=2 on the modified Rankin scale, indicating functional independence",90 days,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,"Score of <=2 on the modified Rankin scale, indicating functional independence",90 days,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,"Score of <=2 on the modified Rankin scale, indicating functional independence",90 days,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Major neurologic improvement,72 hours,Dichotomous,n_intervention,Dichotomous,250,250,250,250,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Major neurologic improvement,72 hours,Dichotomous,events_intervention,Dichotomous,40,40,40,40,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Major neurologic improvement,72 hours,Dichotomous,n_control,Dichotomous,249,249,249,249,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Major neurologic improvement,72 hours,Dichotomous,events_control,Dichotomous,15,15,15,15,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Major neurologic improvement,72 hours,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Major neurologic improvement,72 hours,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Major neurologic improvement,72 hours,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Major neurologic improvement,72 hours,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Reperfusion,24 hours,Dichotomous,n_intervention,Dichotomous,239,239,239,239,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Reperfusion,24 hours,Dichotomous,events_intervention,Dichotomous,48,48,48,48,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Reperfusion,24 hours,Dichotomous,n_control,Dichotomous,229,229,229,229,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Reperfusion,24 hours,Dichotomous,events_control,Dichotomous,27,27,27,27,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Reperfusion,24 hours,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Reperfusion,24 hours,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Reperfusion,24 hours,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Reperfusion,24 hours,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,n_intervention,Continuous,,264,264,264,NO,NO,NO,YES,YES,YES,264,Sam N/A,YES,YES,YES
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,n_control,Continuous,,252,252,252,NO,NO,NO,YES,YES,YES,252,Sam N/A,YES,YES,YES
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,median_intervention,Continuous,-4,-4,-4,-4,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,iqr_lower_intervention,Continuous,-6,-6,-6,-6,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,iqr_upper_intervention,Continuous,-1,-1,-1,-1,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,median_control,Continuous,-2,-2,-2,-2,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,iqr_lower_control,Continuous,-5,-5,-5,-5,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,iqr_upper_control,Continuous,0,0,0,0,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,effect_size,Effect/CI,,-1.47,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,ci_lower,Effect/CI,,-2.3,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Xiong,Change in the NIHSS score (median [IQR]),7 days,Continuous,ci_upper,Effect/CI,,-0.64,,,Sam N/A,,,PM N/A,Claude N/A,,,Sam N/A,YES,PM N/A,Claude N/A
Xiong,Symptomatic intracranial hemorrhage within 36 hr after randomization,36 hours,Dichotomous,n_intervention,Dichotomous,264,264,264,264,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Symptomatic intracranial hemorrhage within 36 hr after randomization,36 hours,Dichotomous,events_intervention,Dichotomous,8,8,8,8,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Symptomatic intracranial hemorrhage within 36 hr after randomization,36 hours,Dichotomous,n_control,Dichotomous,252,252,252,252,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Symptomatic intracranial hemorrhage within 36 hr after randomization,36 hours,Dichotomous,events_control,Dichotomous,2,2,2,2,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Symptomatic intracranial hemorrhage within 36 hr after randomization,36 hours,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Symptomatic intracranial hemorrhage within 36 hr after randomization,36 hours,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Symptomatic intracranial hemorrhage within 36 hr after randomization,36 hours,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Symptomatic intracranial hemorrhage within 36 hr after randomization,36 hours,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Death within 90 days,90 days,Dichotomous,n_intervention,Dichotomous,264,264,264,264,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Death within 90 days,90 days,Dichotomous,events_intervention,Dichotomous,35,35,35,35,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Death within 90 days,90 days,Dichotomous,n_control,Dichotomous,252,252,252,252,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Death within 90 days,90 days,Dichotomous,events_control,Dichotomous,33,33,33,33,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Death within 90 days,90 days,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Death within 90 days,90 days,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Death within 90 days,90 days,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Death within 90 days,90 days,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Moderate or severe systemic bleeding within 90 days,90 days,Dichotomous,n_intervention,Dichotomous,264,264,264,264,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Moderate or severe systemic bleeding within 90 days,90 days,Dichotomous,events_intervention,Dichotomous,5,5,5,5,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Moderate or severe systemic bleeding within 90 days,90 days,Dichotomous,n_control,Dichotomous,252,252,252,252,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Moderate or severe systemic bleeding within 90 days,90 days,Dichotomous,events_control,Dichotomous,2,2,2,2,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Moderate or severe systemic bleeding within 90 days,90 days,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Moderate or severe systemic bleeding within 90 days,90 days,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Moderate or severe systemic bleeding within 90 days,90 days,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Moderate or severe systemic bleeding within 90 days,90 days,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Any adverse event,90 days,Dichotomous,n_intervention,Dichotomous,264,264,264,264,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Any adverse event,90 days,Dichotomous,events_intervention,Dichotomous,134,134,134,134,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Any adverse event,90 days,Dichotomous,n_control,Dichotomous,252,252,252,252,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Any adverse event,90 days,Dichotomous,events_control,Dichotomous,129,129,129,129,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Any adverse event,90 days,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Any adverse event,90 days,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Any adverse event,90 days,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Any adverse event,90 days,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Any serious adverse event,90 days,Dichotomous,n_intervention,Dichotomous,264,264,264,264,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Any serious adverse event,90 days,Dichotomous,events_intervention,Dichotomous,54,53,53,53,NO,NO,NO,YES,YES,YES,53,NO,YES,YES,YES
Xiong,Any serious adverse event,90 days,Dichotomous,n_control,Dichotomous,252,252,252,252,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Any serious adverse event,90 days,Dichotomous,events_control,Dichotomous,43,43,43,43,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Any serious adverse event,90 days,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Any serious adverse event,90 days,Dichotomous,sd_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Any serious adverse event,90 days,Dichotomous,mean_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Any serious adverse event,90 days,Dichotomous,sd_control,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Age <80 yr),90 days,Dichotomous,n_intervention,Dichotomous,236,236,236,236,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Age <80 yr),90 days,Dichotomous,events_intervention,Dichotomous,81,81,81,81,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Age <80 yr),90 days,Dichotomous,n_control,Dichotomous,213,213,213,213,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Age <80 yr),90 days,Dichotomous,events_control,Dichotomous,57,57,57,57,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES
Xiong,Score of 0 or 1 on the modified Rankin scale (Subgroup: Age <80 yr),90 days,Dichotomous,mean_intervention,Continuous,,,0,,,Sam N/A,,Brit N/A,,,,Sam N/A,Brit N/A,PM N/A,Claude N/A
